Lon,Lat,C_KK10LonLatElev,B_KK10LonLatElev,U_KK10LonLatElev
-10.5000000000,51.5000000000,0.0698390944,0.3908993759,0.5392615296
-10.5000000000,52.5000000000,0.0532356548,0.3729549704,0.5738093748
-10.5000000000,53.5000000000,0.0425026528,0.3971036936,0.5603936537
-10.5000000000,54.5000000000,0.0626118831,0.3330987845,0.6042893324
-9.5000000000,38.5000000000,0.0851883775,0.1833785005,0.7314331220
-9.5000000000,39.5000000000,0.0854571507,0.1879942956,0.7265485537
-9.5000000000,42.5000000000,0.0764053164,0.2383315117,0.6852631720
-9.5000000000,43.5000000000,0.0708661535,0.2709017610,0.6582320854
-9.5000000000,51.5000000000,0.0715674377,0.4139183688,0.5145141935
-9.5000000000,52.5000000000,0.0601820889,0.3997405886,0.5400773225
-9.5000000000,53.5000000000,0.0549464368,0.3969104228,0.5481431403
-9.5000000000,54.5000000000,0.0624376659,0.3522620772,0.5853002569
-8.5000000000,37.5000000000,0.1010551466,0.1665574723,0.7323873810
-8.5000000000,38.5000000000,0.1079097468,0.1651626386,0.7269276146
-8.5000000000,39.5000000000,0.0985509067,0.1790417340,0.7224073593
-8.5000000000,40.5000000000,0.1002732345,0.1828513755,0.7168753900
-8.5000000000,41.5000000000,0.0983460397,0.1968463959,0.7048075645
-8.5000000000,42.5000000000,0.0939854729,0.2181150424,0.6878994847
-8.5000000000,43.5000000000,0.0805826293,0.2591440954,0.6602732753
-8.5000000000,51.5000000000,0.0590331735,0.4189958268,0.5219709997
-8.5000000000,52.5000000000,0.0543846091,0.4085737404,0.5370416506
-8.5000000000,53.5000000000,0.0549724507,0.4109665362,0.5340610130
-8.5000000000,54.5000000000,0.0630472004,0.3718490681,0.5651037315
-8.5000000000,55.5000000000,0.0521747136,0.3467385296,0.6010867567
-7.5000000000,37.5000000000,0.1115565925,0.1621107550,0.7263326525
-7.5000000000,38.5000000000,0.1191854494,0.1621849756,0.7186295750
-7.5000000000,39.5000000000,0.1252781644,0.1635500585,0.7111717771
-7.5000000000,40.5000000000,0.1318491721,0.1612203938,0.7069304342
-7.5000000000,41.5000000000,0.1258455887,0.1808148046,0.6933396067
-7.5000000000,42.5000000000,0.1192055976,0.1985967919,0.6821976105
-7.5000000000,43.5000000000,0.0922589892,0.2517067294,0.6560342814
-7.5000000000,51.5000000000,0.0340472382,0.4649273120,0.5010254497
-7.5000000000,52.5000000000,0.0533979454,0.4127222348,0.5338798198
-7.5000000000,53.5000000000,0.0564810566,0.4153900407,0.5281289027
-7.5000000000,54.5000000000,0.0665601505,0.3801240848,0.5533157646
-7.5000000000,55.5000000000,0.0612940427,0.3396492944,0.5990566629
-7.5000000000,57.5000000000,0.0469097273,0.2191253879,0.7339648848
-7.5000000000,58.5000000000,0.0505757397,0.1758483299,0.7735759304
-7.5000000000,62.5000000000,0.0714226542,0.1428618515,0.7857154943
-6.5000000000,35.5000000000,0.1540958660,0.1325790205,0.7133251135
-6.5000000000,36.5000000000,0.1344645972,0.1485707292,0.7169646736
-6.5000000000,37.5000000000,0.1425118078,0.1464496733,0.7110385189
-6.5000000000,38.5000000000,0.1580274760,0.1452801346,0.6966923894
-6.5000000000,39.5000000000,0.1519762657,0.1603217348,0.6877019995
-6.5000000000,40.5000000000,0.1634170614,0.1628755262,0.6737074124
-6.5000000000,41.5000000000,0.1492981010,0.1854274254,0.6652744736
-6.5000000000,42.5000000000,0.1656071177,0.1792123637,0.6551805186
-6.5000000000,43.5000000000,0.1013546230,0.2605451375,0.6381002395
-6.5000000000,52.5000000000,0.0500129254,0.3978898744,0.5520972002
-6.5000000000,53.5000000000,0.0498285557,0.4229173115,0.5272541328
-6.5000000000,54.5000000000,0.0614369917,0.3944879945,0.5440750138
-6.5000000000,55.5000000000,0.0573429270,0.3539446010,0.5887124720
-6.5000000000,56.5000000000,0.0483380298,0.2911630605,0.6604989097
-6.5000000000,57.5000000000,0.0511547101,0.2098035668,0.7390417231
-6.5000000000,58.5000000000,0.0495954201,0.1732600376,0.7771445423
-6.5000000000,61.5000000000,0.0640673281,0.1372308441,0.7987018277
-6.5000000000,62.5000000000,0.0717267991,0.1389275879,0.7893456130
-5.5000000000,35.5000000000,0.1926465012,0.1116249591,0.6957285398
-5.5000000000,36.5000000000,0.1705170263,0.1265965078,0.7028864660
-5.5000000000,37.5000000000,0.1641347358,0.1381202594,0.6977450047
-5.5000000000,38.5000000000,0.1776090643,0.1404973151,0.6818936206
-5.5000000000,39.5000000000,0.1784484329,0.1544581275,0.6670934395
-5.5000000000,40.5000000000,0.2181708695,0.1460984830,0.6357306475
-5.5000000000,41.5000000000,0.1741776783,0.1965526850,0.6292696367
-5.5000000000,42.5000000000,0.1757821628,0.2077179212,0.6164999160
-5.5000000000,43.5000000000,0.1126611471,0.2807866495,0.6065522034
-5.5000000000,50.5000000000,0.0497493938,0.3280629409,0.6221876653
-5.5000000000,51.5000000000,0.0498695354,0.3412918084,0.6088386563
-5.5000000000,54.5000000000,0.0533161394,0.3660386172,0.5806452434
-5.5000000000,55.5000000000,0.0525906862,0.3323249327,0.6150843811
-5.5000000000,56.5000000000,0.0555335469,0.2632017300,0.6812647231
-5.5000000000,57.5000000000,0.0605616495,0.1945422029,0.7448961476
-5.5000000000,58.5000000000,0.0483107406,0.1793213805,0.7723678789
-4.5000000000,35.5000000000,0.1974965075,0.1077020293,0.6948014633
-4.5000000000,36.5000000000,0.1753292736,0.1205736367,0.7040970897
-4.5000000000,37.5000000000,0.2014123007,0.1151012747,0.6834864246
-4.5000000000,38.5000000000,0.2125996017,0.1253380951,0.6620623031
-4.5000000000,39.5000000000,0.2218095581,0.1433181920,0.6348722499
-4.5000000000,40.5000000000,0.2688336908,0.1446632216,0.5865030876
-4.5000000000,41.5000000000,0.2237258528,0.1954331711,0.5808409761
-4.5000000000,42.5000000000,0.2071180416,0.2224766992,0.5704052592
-4.5000000000,43.5000000000,0.1282536075,0.2991094157,0.5726369768
-4.5000000000,47.5000000000,0.0434242674,0.2998389577,0.6567367749
-4.5000000000,48.5000000000,0.0453522366,0.2975240470,0.6571237164
-4.5000000000,50.5000000000,0.0455098627,0.2942406029,0.6602495344
-4.5000000000,51.5000000000,0.0439406746,0.3055214572,0.6505378682
-4.5000000000,52.5000000000,0.0464933636,0.3157145834,0.6377920530
-4.5000000000,53.5000000000,0.0481404625,0.3298915118,0.6219680257
-4.5000000000,54.5000000000,0.0446482755,0.3412316368,0.6141200877
-4.5000000000,55.5000000000,0.0522122222,0.3015688594,0.6462189183
-4.5000000000,56.5000000000,0.0690317190,0.2302517522,0.7007165288
-4.5000000000,57.5000000000,0.0647590872,0.1843419355,0.7508989773
-4.5000000000,58.5000000000,0.0549667957,0.1575230748,0.7875101295
-3.5000000000,35.5000000000,0.2099144125,0.0938332742,0.6962523133
-3.5000000000,36.5000000000,0.1907761572,0.1038133601,0.7054104827
-3.5000000000,37.5000000000,0.2665880196,0.0809583384,0.6524536420
-3.5000000000,38.5000000000,0.2367382635,0.1101027906,0.6531589460
-3.5000000000,39.5000000000,0.2504711874,0.1298394496,0.6196893630
-3.5000000000,40.5000000000,0.2727974980,0.1486413599,0.5785611421
-3.5000000000,41.5000000000,0.2877221538,0.1731539619,0.5391238843
-3.5000000000,42.5000000000,0.2288194476,0.2285503820,0.5426301703
-3.5000000000,43.5000000000,0.1243554927,0.3144851500,0.5611593573
-3.5000000000,47.5000000000,0.0445847898,0.2609477018,0.6944675084
-3.5000000000,48.5000000000,0.0415787640,0.2688300828,0.6895911532
-3.5000000000,50.5000000000,0.0404092255,0.2720858470,0.6875049276
-3.5000000000,51.5000000000,0.0420671732,0.2650288143,0.6929040124
-3.5000000000,52.5000000000,0.0485881441,0.2577639999,0.6936478560
-3.5000000000,53.5000000000,0.0452688322,0.2894841913,0.6652469765
-3.5000000000,54.5000000000,0.0494723451,0.2980589693,0.6524686856
-3.5000000000,55.5000000000,0.0560076727,0.2881864047,0.6558059226
-3.5000000000,56.5000000000,0.0618409091,0.2484308501,0.6897282408
-3.5000000000,57.5000000000,0.0632341746,0.1887928560,0.7479729694
-3.5000000000,58.5000000000,0.0540240764,0.1531341732,0.7928417504
-3.5000000000,59.5000000000,0.0518403482,0.1351137820,0.8130458698
-2.5000000000,35.5000000000,0.2067534492,0.0828345925,0.7104119583
-2.5000000000,36.5000000000,0.2047983702,0.0866182309,0.7085833988
-2.5000000000,37.5000000000,0.2688885817,0.0658471079,0.6652643104
-2.5000000000,38.5000000000,0.2818402544,0.0805738002,0.6375859454
-2.5000000000,39.5000000000,0.2705260908,0.1082772514,0.6211966578
-2.5000000000,40.5000000000,0.2900005045,0.1284890643,0.5815104312
-2.5000000000,41.5000000000,0.2969910745,0.1594954973,0.5435134283
-2.5000000000,42.5000000000,0.2273298673,0.2324301530,0.5402399797
-2.5000000000,43.5000000000,0.1250706789,0.3263364100,0.5485929111
-2.5000000000,46.5000000000,0.0556861098,0.2960164532,0.6482974370
-2.5000000000,47.5000000000,0.0457295928,0.2658439784,0.6884264288
-2.5000000000,48.5000000000,0.0395671679,0.2738877377,0.6865450944
-2.5000000000,49.5000000000,0.0406577409,0.2712422843,0.6880999748
-2.5000000000,50.5000000000,0.0366522322,0.2739726995,0.6893750684
-2.5000000000,51.5000000000,0.0353667493,0.2620301290,0.7026031217
-2.5000000000,52.5000000000,0.0364745514,0.2515012017,0.7120242468
-2.5000000000,53.5000000000,0.0407901207,0.2623395949,0.6968702845
-2.5000000000,54.5000000000,0.0543063686,0.2522286236,0.6934650078
-2.5000000000,55.5000000000,0.0538122745,0.2668303231,0.6793574024
-2.5000000000,56.5000000000,0.0514054971,0.2633510137,0.6852434891
-2.5000000000,57.5000000000,0.0548700883,0.2078425843,0.7372873274
-2.5000000000,58.5000000000,0.0500486929,0.1628236455,0.7871276615
-1.5000000000,35.5000000000,0.1540655077,0.0848852152,0.7610492771
-1.5000000000,36.5000000000,0.1913955562,0.0725649465,0.7360394973
-1.5000000000,37.5000000000,0.1857818641,0.0736284390,0.7405896970
-1.5000000000,38.5000000000,0.2386380359,0.0758792903,0.6854826738
-1.5000000000,39.5000000000,0.2648351289,0.0912297454,0.6439351258
-1.5000000000,40.5000000000,0.3275307883,0.0948559554,0.5776132563
-1.5000000000,41.5000000000,0.2603363022,0.1594539894,0.5802097084
